Reservation ID,Guest ID,Booking Date,Check-In Date,Check-Out Date,Number of Nights,Check-In Month,Check-In Year,Season,Check-In Day,Adults,Children,Party Size,Room Type,Guest Type,Market Segment,Booking Channel,Guest State,Loyalty Member,Returning Guest,Booking Lead Time,Daily Rate,Room Revenue,Restaurant Spend,Spa Used,Spa Spend,Other Spend,Ancillary Revenue,Total Revenue,Reservation Status,Special Request,Complaint Filed,Satisfaction Rating,Review Score
R202400001,G102418,2025-08-24 00:00:00,2025-10-16 00:00:00,2025-10-20 00:00:00,4,October,2025,Fall,Thursday,2,0,2,Standard King,Leisure,Direct,Phone,California,No,No,53,171.61,686.44,200.64,No,0,139.31,339.95,1026.39,Completed,No,No,4.5,9.7
R202400002,G100418,2023-12-16 00:00:00,2024-01-07 00:00:00,2024-01-09 00:00:00,2,January,2024,Winter,Sunday,1,0,1,Standard Double,Business,Direct,Hotel Website,Virginia,Yes,No,22,125.5,251.0,14.15,No,0,21.58,35.73,286.73,Completed,No,No,4.0,8.5
R202400003,G103503,2025-06-28 00:00:00,2025-09-25 00:00:00,2025-09-30 00:00:00,5,September,2025,Fall,Thursday,3,0,3,Standard King,Group,Group,Expedia,New York,No,No,89,167.98,839.9,299.96,No,0,254.42,554.38,1394.28,Completed,No,No,3.9,7.2
R202400004,G103178,2024-08-26 00:00:00,2024-09-07 00:00:00,2024-09-09 00:00:00,2,September,2024,Fall,Saturday,2,2,4,Executive Suite,Leisure,OTA,Expedia,Ohio,Yes,No,12,549.52,1099.04,427.84,No,0,109.3,537.14,1636.18,Completed,No,No,3.4,6.8
R202400005,G100898,2024-03-04 00:00:00,2024-05-26 00:00:00,2024-05-29 00:00:00,3,May,2024,Spring,Sunday,3,0,3,Deluxe King,Leisure,Direct,Hotel Website,New Jersey,No,No,83,225.91,677.73,260.18,No,0,0,260.18,937.91,Completed,Yes,No,3.9,7.5
R202400006,G101092,2025-03-09 00:00:00,2025-04-24 00:00:00,2025-04-30 00:00:00,6,April,2025,Spring,Thursday,2,0,2,Lake View King,Leisure,Direct,Travel Agent,Ohio,No,No,46,237.66,1425.96,577.91,No,0,214.31,792.22,2218.18,Completed,No,No,4.1,8.2
R202400007,G102453,2025-07-01 00:00:00,2025-10-16 00:00:00,2025-10-21 00:00:00,5,October,2025,Fall,Thursday,4,2,6,Standard Double,Leisure,Direct,Hotel Website,Massachusetts,No,No,107,180.37,901.85,1356.23,No,0,31.64,1387.87,2289.72,Completed,Yes,No,4.6,9.1
R202400008,G100676,2024-03-10 00:00:00,2024-03-11 00:00:00,2024-03-12 00:00:00,1,March,2024,Spring,Monday,2,0,2,Standard King,Couple Getaway,OTA,Booking.com,New York,No,No,1,134.99,134.99,16.46,Yes,210.4,26.3,253.16,388.15,Completed,No,No,3.9,8.1
R202400009,G100276,2024-07-09 00:00:00,2024-08-18 00:00:00,2024-08-21 00:00:00,3,August,2024,Summer,Sunday,2,0,2,Deluxe King,Leisure,Direct,Hotel Website,Ohio,No,No,40,321.12,0.0,0,No,0,0,0,0.0,Cancelled,Yes,No,,
R202400010,G100386,2024-07-07 00:00:00,2024-08-07 00:00:00,2024-08-09 00:00:00,2,August,2024,Summer,Wednesday,2,0,2,Junior Suite,Leisure,Direct,Phone,Maryland,Yes,No,31,420.96,841.92,32.29,No,0,84.63,116.92,958.84,Completed,No,No,4.1,8.5
R202400011,G103309,2024-06-29 00:00:00,2024-09-11 00:00:00,2024-09-15 00:00:00,4,September,2024,Fall,Wednesday,3,0,3,Standard King,Leisure,OTA,Booking.com,Pennsylvania,No,No,74,165.23,660.92,541.08,No,0,0,541.08,1202.0,Completed,No,No,4.0,8.0
R202400012,G102992,2024-02-12 00:00:00,2024-03-01 00:00:00,2024-03-07 00:00:00,6,March,2024,Spring,Friday,2,1,3,Standard Double,Leisure,Direct,Hotel Website,New Jersey,No,No,18,155.73,934.38,611.16,No,0,301.52,912.68,1847.06,Completed,No,No,4.3,8.4
R202400013,G100278,2025-03-23 00:00:00,2025-05-29 00:00:00,2025-05-30 00:00:00,1,May,2025,Spring,Thursday,2,2,4,Standard King,Group,Group,Booking.com,New York,No,No,67,146.63,146.63,113.61,No,0,64.55,178.16,324.79,Completed,No,No,3.1,6.0
R202400014,G101877,2024-09-10 00:00:00,2024-11-17 00:00:00,2024-11-20 00:00:00,3,November,2024,Fall,Sunday,2,0,2,Deluxe King,Leisure,OTA,Expedia,New Jersey,No,No,68,174.61,523.83,127.73,No,0,103.7,231.43,755.26,Completed,Yes,No,4.2,9.0
R202400015,G102717,2024-10-21 00:00:00,2024-11-05 00:00:00,2024-11-09 00:00:00,4,November,2024,Fall,Tuesday,1,0,1,Deluxe King,Business,Direct,Travel Agent,Massachusetts,Yes,No,15,170.32,681.28,79.64,No,0,88.9,168.54,849.82,Completed,Yes,No,4.1,7.2
R202400016,G103158,2024-06-25 00:00:00,2024-09-14 00:00:00,2024-09-16 00:00:00,2,September,2024,Fall,Saturday,2,1,3,Standard King,Group,Corporate Negotiated,Corporate,New York,Yes,No,81,206.14,412.28,57.57,No,0,94.59,152.16,564.44,Completed,Yes,No,4.4,8.5
R202400017,G101465,2024-10-01 00:00:00,2025-01-13 00:00:00,2025-01-15 00:00:00,2,January,2025,Winter,Monday,3,2,5,Standard King,Leisure,Direct,Hotel Website,Other,Yes,No,104,115.18,230.36,329.21,No,0,0,329.21,559.57,Completed,No,No,5,9.5
R202400018,G103320,2024-02-21 00:00:00,2024-06-30 00:00:00,2024-07-01 00:00:00,1,June,2024,Summer,Sunday,4,2,6,Deluxe King,Group,Group,Hotel Website,Maryland,Yes,No,130,275.75,275.75,152.28,No,0,39.16,191.44,467.19,Completed,Yes,No,3.9,8.6
R202400019,G101637,2024-08-16 00:00:00,2024-08-16 00:00:00,2024-08-22 00:00:00,6,August,2024,Summer,Friday,2,1,3,Standard King,Leisure,Direct,Hotel Website,New York,No,No,0,232.61,1395.66,961.38,No,0,256.63,1218.01,2613.67,Completed,No,No,5,10
R202400020,G102129,2024-10-18 00:00:00,2024-11-17 00:00:00,2024-11-21 00:00:00,4,November,2024,Fall,Sunday,1,0,1,Standard King,Leisure,Direct,Travel Agent,New York,No,No,30,137.86,551.44,89.06,Yes,312.63,66.45,468.14,1019.58,Completed,No,No,5.0,9.3
R202400021,G101552,2024-11-01 00:00:00,2024-11-12 00:00:00,2024-11-14 00:00:00,2,November,2024,Fall,Tuesday,1,0,1,Deluxe King,Business,Direct,Hotel Website,Pennsylvania,No,No,11,200.66,401.32,33.13,Yes,203.2,122.63,358.96,760.28,Completed,No,No,4.1,7.7
R202400022,G102536,2024-08-06 00:00:00,2024-08-06 00:00:00,2024-08-09 00:00:00,3,August,2024,Summer,Tuesday,2,1,3,Junior Suite,Leisure,Direct,Phone,Pennsylvania,No,No,0,464.12,1392.36,214.28,Yes,127.08,63.35,404.71,1797.07,Completed,Yes,No,4.6,9.0
R202400023,G103524,2025-08-15 00:00:00,2025-10-06 00:00:00,2025-10-08 00:00:00,2,October,2025,Fall,Monday,2,2,4,Standard Double,Leisure,Direct,Phone,California,No,No,52,175.86,351.72,337.95,No,0,168.98,506.93,858.65,Completed,Yes,No,4.7,8.9
R202400024,G101747,2025-11-05 00:00:00,2025-11-14 00:00:00,2025-11-17 00:00:00,3,November,2025,Fall,Friday,3,2,5,Standard King,Leisure,OTA,Booking.com,New York,No,No,9,147.26,441.78,275.45,No,0,113.1,388.55,830.33,Completed,No,No,3.6,7.1
